expanded_url,file_name,directory,file_downloaded
https://api.nga.gov/iiif/45802917-409d-4915-97d1-a095c2557ef7/full/full/0/default.jpg,Shrine.jpg,./All_Images,True
https://api.nga.gov/iiif/220d2694-4214-4a43-9462-51d37e8e3fc1/full/full/0/default.jpg,Shrine.jpg,./All_Images,True
https://api.nga.gov/iiif/10a0876d-1d0d-4cb2-bac4-1024e73290e8/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
https://api.nga.gov/iiif/9e847fa5-62b0-4b4b-9e55-1aeb728f669e/full/full/0/default.jpg,The_Marquis_de_Sade.jpg,./All_Images,True
https://api.nga.gov/iiif/ee90b342-04ac-47a6-89b6-fe739db5df61/full/full/0/default.jpg,Interior.jpg,./All_Images,True
https://api.nga.gov/iiif/53fc9722-fa16-44f6-8d27-7c0bacba46cc/full/full/0/default.jpg,Portrait_like_Beethoven.jpg,./All_Images,True
https://api.nga.gov/iiif/395fd277-e9b9-4bee-9ddd-ac38bb7749b5/full/full/0/default.jpg,Cuevas-Charenton.jpg,./All_Images,True
https://api.nga.gov/iiif/4540be07-f408-4fc5-b215-f9dd94b41caa/full/full/0/default.jpg,Suite_5X_I.jpg,./All_Images,True
https://api.nga.gov/iiif/1b36f54b-5601-444a-86c6-61c0b28a20fb/full/full/0/default.jpg,Suite_5X_II.jpg,./All_Images,True
https://api.nga.gov/iiif/4b888a49-bb39-4d2e-993c-ec7ce6c7cecb/full/full/0/default.jpg,Suite_5X_III.jpg,./All_Images,True
https://api.nga.gov/iiif/61224ffe-a126-4b41-a9ed-f49eb58c2bf2/full/full/0/default.jpg,Suite_5X_IV.jpg,./All_Images,True
https://api.nga.gov/iiif/c8454481-675d-495b-bc4c-5373dbbf1bee/full/full/0/default.jpg,Suite_5X_V.jpg,./All_Images,True
https://api.nga.gov/iiif/a04f4ebb-6567-430c-8f63-cf6aa58c936b/full/full/0/default.jpg,Untitled.jpg,./All_Images,True
