objectid,constituentid,roletype,role,displaydate_artMade,beginyear_artMade,endyear_artMade,country_artMade,zipcode_artMade,ulanid,forwarddisplayname,artistofngaobject,birthyear,deathyear,nationality,constituenttype,demonym,pct_country_NGA,artists_countryCode,artists_continent,artists_country
53076,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64161,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64171,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64172,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64177,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64178,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
60891,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64163,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64165,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64166,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
64180,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
126930,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
150852,2518,artist,artist,"Uruguayan, 1874 - 1949",1874,1949,NULL,NULL,500031259,"Joaquín Torres-García",1,1874,1949,Uruguayan,individual,Uruguayan,0,UY,SA,Uruguay
59857,2518,artist,artist,"Uruguayan, 1874 - 1949",1874,1949,NULL,NULL,500031259,"Joaquín Torres-García",1,1874,1949,Uruguayan,individual,Uruguayan,0,UY,SA,Uruguay
61236,2768,artist,artist,"Chilean, born 1952",1952,NULL,NULL,NULL,500034419,"Francisca Sutil",1,1952,NULL,Chilean,individual,Chilean,0,CL,SA,Chile
61467,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61473,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61475,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61481,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61484,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61486,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61488,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
57720,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61460,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61462,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61463,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61465,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61471,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61479,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61483,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61487,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61491,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61461,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61464,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61466,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61469,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61470,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61472,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61482,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61489,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61492,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61468,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61474,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61476,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61477,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61478,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61480,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61485,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
61490,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
42617,2894,artist,artist,"Mexican, 1901 - 1976",1901,1976,NULL,NULL,500202173,"Emilio Amero",1,1901,1976,Mexican,individual,Mexican,0,MX,NoAm,Mexico
3642,2894,artist,artist,"Mexican, 1901 - 1976",1901,1976,NULL,NULL,500202173,"Emilio Amero",1,1901,1976,Mexican,individual,Mexican,0,MX,NoAm,Mexico
221109,2894,artist,artist,"Mexican, 1901 - 1976",1901,1976,NULL,NULL,500202173,"Emilio Amero",1,1901,1976,Mexican,individual,Mexican,0,MX,NoAm,Mexico
221111,2894,artist,artist,"Mexican, 1901 - 1976",1901,1976,NULL,NULL,500202173,"Emilio Amero",1,1901,1976,Mexican,individual,Mexican,0,MX,NoAm,Mexico
46741,2911,artist,artist,"Chilean, 1918 - 1993",1918,1993,NULL,NULL,500082877,"Nemesio Antunez",1,1918,1993,Chilean,individual,Chilean,0,CL,SA,Chile
37447,3044,artist,artist,"Argentinean, born 1917",1917,2017,NULL,NULL,NULL,"Armando Sica",1,1917,2017,Argentinean,individual,Argentinean,0,AR,SA,Argentina
30309,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
33512,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
33513,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
33520,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
184007,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
33515,3452,artist,artist,"Mexican, 1908 - 2003",1908,2003,NULL,NULL,500065904,"Alfredo Zalce",1,1908,2003,Mexican,individual,Mexican,0,MX,NoAm,Mexico
