iiifurl,iiifthumburl,accessioned,title,displayDate_created,roletype,role,forwarddisplayname,birthyear,deathyear,ulanid,artistofngaobject,nationality,constituenttype,demonym,pct_country_NGA,artists_countryCode,artists_continent,artists_country,beginyear_artistAssigned,endyear_artistAssigned,displaydate_artistAssigned,country_artistAssigned,zipcode_artistAssigned,medium,dimensions,inscription,markings,attribution,visualBrowserClassification,parentID,isVirtual,portfolio,series,volume,watermarks,uuid,viewtype,sequence,width,height,maxpixels,assistivetext,depictstmsobjectid,objectid,constituentid,expanded_url
https://api.nga.gov/iiif/87fd48ae-86eb-4d5b-966d-f1a88d4b45a8,"https://api.nga.gov/iiif/87fd48ae-86eb-4d5b-966d-f1a88d4b45a8/full/!200,200/0/default.jpg",1.0,Luz Restirada (Lengthened Light),"1944, printed 1977",artist,artist,Manuel Álvarez Bravo,1902.0,2002.0,500028115.0,1.0,Mexican,individual,Mexican,0.0,MX,NoAm,Mexico,1902.0,2002.0,"Mexican, 1902 - 2002",,,gelatin silver print,"image: 24.13 × 17.46 cm (9 1/2 × 6 7/8 in.)
sheet: 25.4 × 20.32 cm (10 × 8 in.)","on verso, signed by artist, lower right in graphite: M. Alvarez Bravo. / México.; bottom right corner: 81/100; by Corcoran Gallery of Art, bottom right: 1978.108.4",,Manuel Álvarez Bravo,photograph,,0.0,Photographs by Manuel Alvarez Bravo,,,,87fd48ae-86eb-4d5b-966d-f1a88d4b45a8,primary,0.0,2897.0,4000.0,640.0,,197751.0,197751.0,16466.0,"https://api.nga.gov/iiif/87fd48ae-86eb-4d5b-966d-f1a88d4b45a8/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/8c007b9f-6117-4323-a876-38fc1e0f02f3,"https://api.nga.gov/iiif/8c007b9f-6117-4323-a876-38fc1e0f02f3/full/!200,200/0/default.jpg",1.0,Untitled (Envelope with Leaves),1981,artist,artist,Miguel Cervantes,1980.0,,500472229.0,1.0,Mexican,individual,Mexican,0.0,MX,NoAm,Mexico,1980.0,,"Mexican, born 1980",,,softground etching and aquatint in dark brown and gray on buff paper,"plate: 11.2 x 21.5 cm (4 7/16 x 8 7/16 in.)
sheet: 52 x 41 cm (20 1/2 x 16 1/8 in.)",lower right in graphite: MCervantes; lower left in graphite: P/P IV/V,BS: AEROPRESS,Miguel Cervantes,print,128543.0,0.0,Prosa de la Calavera: pl. 2,Prosa de la Calavera: pl. 2,,,8c007b9f-6117-4323-a876-38fc1e0f02f3,primary,0.0,4000.0,2090.0,640.0,,133878.0,133878.0,28727.0,"https://api.nga.gov/iiif/8c007b9f-6117-4323-a876-38fc1e0f02f3/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/8c1fb6df-ee5b-4b6e-8a2a-12ac7d8baaf8,"https://api.nga.gov/iiif/8c1fb6df-ee5b-4b6e-8a2a-12ac7d8baaf8/full/!200,200/0/default.jpg",1.0,Awaiting His Return,1945,artist,printer,Taller de Grafica Popular,1937.0,,,1.0,Mexican,corporate,Mexican,0.0,MX,NoAm,Mexico,1937.0,,"Mexican, founded 1937",,,lithograph in black on wove paper,"image: 40.1 x 31.3 cm (15 13/16 x 12 5/16 in.)
sheet: 48.2 x 39.8 cm (19 x 15 11/16 in.)","lower left in graphite: Mother"" 4/20 Prints; lower right in graphite: Charles White '45""",,Charles White,print,,0.0,,,,,8c1fb6df-ee5b-4b6e-8a2a-12ac7d8baaf8,primary,0.0,3629.0,4699.0,640.0,,119789.0,119789.0,35252.0,"https://api.nga.gov/iiif/8c1fb6df-ee5b-4b6e-8a2a-12ac7d8baaf8/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/8cfabf00-e13f-420c-9551-a097ebe5d49e,"https://api.nga.gov/iiif/8cfabf00-e13f-420c-9551-a097ebe5d49e/full/!200,200/0/default.jpg",1.0,Untitled #1,2016,artist,artist,Sandra Cinto,1968.0,,500332855.0,1.0,Brazilian,individual,Brazilian,0.0,BR,SA,Brazil,1968.0,,"Brazilian, born 1968",,,photogravure and direct gravure,sheet: 126.52 × 86.36 cm (49 13/16 × 34 in.),,"Sunburst (Graphicstudio) chop, lower right margin.",Sandra Cinto,print,,0.0,,Chance and Necessity,,None.,8cfabf00-e13f-420c-9551-a097ebe5d49e,primary,0.0,9447.0,13719.0,640.0,,222828.0,222828.0,51620.0,"https://api.nga.gov/iiif/8cfabf00-e13f-420c-9551-a097ebe5d49e/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/8fecf953-0364-438d-b88b-63d8c842f7f6,"https://api.nga.gov/iiif/8fecf953-0364-438d-b88b-63d8c842f7f6/full/!200,200/0/default.jpg",1.0,Compostion X,1962,artist,artist,Matta,1911.0,2002.0,500057123.0,1.0,Chilean,individual,Chilean,0.0,CL,SA,Chile,1911.0,2002.0,"Chilean, 1911 - 2002",,,"color etching, soft-ground, and aquatint",,,,Matta,print,,0.0,"Suite from Come detta dentro vo significando""""","Suite from Come detta dentro vo significando""""",,,8fecf953-0364-438d-b88b-63d8c842f7f6,primary,0.0,4000.0,3094.0,640.0,,48419.0,48419.0,1707.0,"https://api.nga.gov/iiif/8fecf953-0364-438d-b88b-63d8c842f7f6/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/8fee3321-86c3-4bb4-a7ba-19d8059b8057,"https://api.nga.gov/iiif/8fee3321-86c3-4bb4-a7ba-19d8059b8057/full/!200,200/0/default.jpg",1.0,La pêche miraculeuse (The Miraculous Catch of Fish),c. 1936,artist,artist,Victor Delhez,1902.0,1985.0,,1.0,Argentinean,individual,Argentinean,0.0,AR,SA,Argentina,1902.0,1985.0,"Argentinean, born Belgium, 1902 - 1985",,,wood engraving in black on wove paper,"image: 15 1/2 x 13 in. (39.37 x 33.02 cm)
sheet: 19 11/16 x 15 1/8 in. (50.01 x 38.42 cm)",lower left in graphite: epreuve d'artiste; lower center in graphite: La Pêche miraculeuse; lower right in graphite: Victor Delhez; lower right corner in graphite by unknown hand: 22,stamped center verso in black ink: F.B.B. [circled],Victor Delhez,print,,0.0,,,,,8fee3321-86c3-4bb4-a7ba-19d8059b8057,primary,0.0,3341.0,4000.0,640.0,,169871.0,169871.0,25864.0,"https://api.nga.gov/iiif/8fee3321-86c3-4bb4-a7ba-19d8059b8057/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/913cdf51-5667-4213-a85b-3cc6096f09e4,"https://api.nga.gov/iiif/913cdf51-5667-4213-a85b-3cc6096f09e4/full/!200,200/0/default.jpg",1.0,Compostion VII,1962,artist,artist,Matta,1911.0,2002.0,500057123.0,1.0,Chilean,individual,Chilean,0.0,CL,SA,Chile,1911.0,2002.0,"Chilean, 1911 - 2002",,,"color etching, soft-ground, and aquatint",,,,Matta,print,,0.0,"Suite from Come detta dentro vo significando""""","Suite from Come detta dentro vo significando""""",,,913cdf51-5667-4213-a85b-3cc6096f09e4,primary,0.0,4000.0,3078.0,640.0,,48416.0,48416.0,1707.0,"https://api.nga.gov/iiif/913cdf51-5667-4213-a85b-3cc6096f09e4/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/92410def-988a-4866-9cc9-9f37ab62adac,"https://api.nga.gov/iiif/92410def-988a-4866-9cc9-9f37ab62adac/full/!200,200/0/default.jpg",1.0,La Mujer de Cien Maridos - Como Alfileres Prendidos,1901,artist,artist,José Guadalupe Posada,1851.0,1913.0,500032573.0,1.0,Mexican,individual,Mexican,0.0,MX,NoAm,Mexico,1851.0,1913.0,"Mexican, 1851 - 1913",,,metalcut on red newsprint,sheet: 29 x 19.5 cm (11 7/16 x 7 11/16 in.),,,José Guadalupe Posada,print,,0.0,,,,,92410def-988a-4866-9cc9-9f37ab62adac,primary,0.0,2726.0,4000.0,,,152829.0,152829.0,5265.0,"https://api.nga.gov/iiif/92410def-988a-4866-9cc9-9f37ab62adac/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/93025113-bd40-4031-8bda-ec4a4cfea885,"https://api.nga.gov/iiif/93025113-bd40-4031-8bda-ec4a4cfea885/full/!200,200/0/default.jpg",1.0,Untitled,1966,artist,artist,Rodolfo Abularach,1933.0,2020.0,500118427.0,1.0,Guatemalan,individual,Guatemalan,0.0,GT,NoAm,Guatemala,1933.0,2020.0,"Guatemalan, 1933 - 2020",,,lithograph (stone) in black on white Nacre paper,"image: 25.4 x 25.5 cm (10 x 10 1/16 in.)
sheet: 30.4 x 30.4 cm (11 15/16 x 11 15/16 in.)",,"BS: Tamarind (T.1), Sanchez (T.40)",Rodolfo Abularach,print,,0.0,,,,,93025113-bd40-4031-8bda-ec4a4cfea885,primary,0.0,3629.0,3809.0,640.0,,61488.0,61488.0,2861.0,"https://api.nga.gov/iiif/93025113-bd40-4031-8bda-ec4a4cfea885/!200,200/!200,200/0/default.jpg"
https://api.nga.gov/iiif/931b0355-fce4-4d74-bb72-4f2644b43dbe,"https://api.nga.gov/iiif/931b0355-fce4-4d74-bb72-4f2644b43dbe/full/!200,200/0/default.jpg",1.0,Landowner,1943,artist,artist,Leopoldo Méndez,1902.0,1969.0,500111715.0,1.0,Mexican,individual,Mexican,0.0,MX,NoAm,Mexico,1902.0,1969.0,"Mexican, 1902 - 1969",,,woodcut on China paper,,,,Leopoldo Méndez,print,,0.0,25 Prints of Leopoldo Mendez,25 Prints of Leopoldo Mendez [1944.14.22-46],,,931b0355-fce4-4d74-bb72-4f2644b43dbe,primary,0.0,4000.0,3218.0,640.0,,30694.0,30694.0,4962.0,"https://api.nga.gov/iiif/931b0355-fce4-4d74-bb72-4f2644b43dbe/!200,200/!200,200/0/default.jpg"
