uuid,iiifurl,iiifthumburl,viewtype,sequence,width,height,maxpixels,assistivetext,depictstmsobjectid,objectid,constituentid,roletype,role,displaydate_artMade,beginyear_artMade,endyear_artMade,country_artMade,zipcode_artMade,ulanid,forwarddisplayname,artistofngaobject,beginyear,endyear,nationality,constituenttype,demonym,pct_country_NGA,artists_countryCode,artists_continent,artists_country
cadb11f3-4436-423b-9dcd-892746e97f80,https://api.nga.gov/iiif/cadb11f3-4436-423b-9dcd-892746e97f80,"https://api.nga.gov/iiif/cadb11f3-4436-423b-9dcd-892746e97f80/full/!200,200/0/default.jpg",primary,0,3134,4000,640,NULL,63086,63086,5730,artist,artist,"Mexican, 1904 - 1957",1904,1957,NULL,NULL,500122721,"Miguel Covarrubias",1,1904,1957,Mexican,individual,Mexican,0,MX,NoAm,Mexico
cb6c1dd3-2960-4807-94dd-3c178a50f7f4,https://api.nga.gov/iiif/cb6c1dd3-2960-4807-94dd-3c178a50f7f4,"https://api.nga.gov/iiif/cb6c1dd3-2960-4807-94dd-3c178a50f7f4/full/!200,200/0/default.jpg",primary,0,2265,4000,640,NULL,4558,4558,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
d0ae0ac7-9cfa-4d28-aa4c-b5df07120f69,https://api.nga.gov/iiif/d0ae0ac7-9cfa-4d28-aa4c-b5df07120f69,"https://api.nga.gov/iiif/d0ae0ac7-9cfa-4d28-aa4c-b5df07120f69/full/!200,200/0/default.jpg",primary,0,3214,4000,640,NULL,30704,30704,4962,artist,artist,"Mexican, 1902 - 1969",1902,1969,NULL,NULL,500111715,"Leopoldo Méndez",1,1902,1969,Mexican,individual,Mexican,0,MX,NoAm,Mexico
d2a9fd92-6076-484c-ad17-a312d794bebb,https://api.nga.gov/iiif/d2a9fd92-6076-484c-ad17-a312d794bebb,"https://api.nga.gov/iiif/d2a9fd92-6076-484c-ad17-a312d794bebb/full/!200,200/0/default.jpg",primary,0,8101,7942,640,NULL,221005,221005,38881,artist,artist,"Mexican, born Austria-Hungary, 1912 - 2000",1912,2000,NULL,NULL,NULL,"Kati Horna",1,1912,2000,Mexican,individual,Mexican,0,MX,NoAm,Mexico
d4053500-c704-491f-8b73-4b32f89dea84,https://api.nga.gov/iiif/d4053500-c704-491f-8b73-4b32f89dea84,"https://api.nga.gov/iiif/d4053500-c704-491f-8b73-4b32f89dea84/full/!200,200/0/default.jpg",primary,0,3597,3753,640,NULL,61482,61482,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
d56265fc-9047-4d65-ac41-d0009fb234d3,https://api.nga.gov/iiif/d56265fc-9047-4d65-ac41-d0009fb234d3,"https://api.nga.gov/iiif/d56265fc-9047-4d65-ac41-d0009fb234d3/full/!200,200/0/default.jpg",primary,0,8951,6879,640,NULL,107542,107542,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
d5da5b46-ba59-4792-809c-cfd8ad485ee6,https://api.nga.gov/iiif/d5da5b46-ba59-4792-809c-cfd8ad485ee6,"https://api.nga.gov/iiif/d5da5b46-ba59-4792-809c-cfd8ad485ee6/full/!200,200/0/default.jpg",primary,0,4000,2556,640,NULL,107544,107544,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
d651685b-cdc2-4f74-a15f-3db8e5eae07a,https://api.nga.gov/iiif/d651685b-cdc2-4f74-a15f-3db8e5eae07a,"https://api.nga.gov/iiif/d651685b-cdc2-4f74-a15f-3db8e5eae07a/full/!200,200/0/default.jpg",primary,0,3352,4000,640,NULL,11853,11853,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
d71fbf73-542f-4750-b322-76904ea26206,https://api.nga.gov/iiif/d71fbf73-542f-4750-b322-76904ea26206,"https://api.nga.gov/iiif/d71fbf73-542f-4750-b322-76904ea26206/full/!200,200/0/default.jpg",primary,0,9226,12917,NULL,NULL,51135,51135,9371,owner,"previous owner","Mexican, 1880 - 1961",1880,1961,NULL,NULL,500031425,"Marius de Zayas",1,1880,1961,Mexican,individual,Mexican,0,MX,NoAm,Mexico
db7f676a-8a27-4feb-8e74-7905b7096370,https://api.nga.gov/iiif/db7f676a-8a27-4feb-8e74-7905b7096370,"https://api.nga.gov/iiif/db7f676a-8a27-4feb-8e74-7905b7096370/full/!200,200/0/default.jpg",primary,0,5623,6979,640,NULL,71794,71794,1831,artist,artist,"Mexican, 1886 - 1957",1886,1957,NULL,NULL,500025126,"Diego Rivera",1,1886,1957,Mexican,individual,Mexican,0,MX,NoAm,Mexico
db9f0bfb-6350-44be-8c56-d378219adc81,https://api.nga.gov/iiif/db9f0bfb-6350-44be-8c56-d378219adc81,"https://api.nga.gov/iiif/db9f0bfb-6350-44be-8c56-d378219adc81/full/!200,200/0/default.jpg",primary,0,3464,4000,640,NULL,133868,133868,28727,artist,artist,"Mexican, born 1980",1980,NULL,NULL,NULL,500472229,"Miguel Cervantes",1,1980,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
dbcb1da7-a92d-4104-bbac-419f8cccde88,https://api.nga.gov/iiif/dbcb1da7-a92d-4104-bbac-419f8cccde88,"https://api.nga.gov/iiif/dbcb1da7-a92d-4104-bbac-419f8cccde88/full/!200,200/0/default.jpg",primary,0,7261,9906,640,NULL,55604,55604,1864,artist,artist,"Brazilian, born 1920",1920,NULL,NULL,NULL,500118070,"Carlos Scliar",1,1920,NULL,Brazilian,individual,Brazilian,0,BR,SA,Brazil
dd557904-2230-4576-ae76-d20dc4f94d7c,https://api.nga.gov/iiif/dd557904-2230-4576-ae76-d20dc4f94d7c,"https://api.nga.gov/iiif/dd557904-2230-4576-ae76-d20dc4f94d7c/full/!200,200/0/default.jpg",primary,0,4000,3251,640,NULL,30693,30693,4962,artist,artist,"Mexican, 1902 - 1969",1902,1969,NULL,NULL,500111715,"Leopoldo Méndez",1,1902,1969,Mexican,individual,Mexican,0,MX,NoAm,Mexico
dd62856f-6036-49ba-97b6-a8e895d01f19,https://api.nga.gov/iiif/dd62856f-6036-49ba-97b6-a8e895d01f19,"https://api.nga.gov/iiif/dd62856f-6036-49ba-97b6-a8e895d01f19/full/!200,200/0/default.jpg",primary,0,3544,3710,640,NULL,61465,61465,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
dd65df95-6508-40b5-b349-a05394b4945b,https://api.nga.gov/iiif/dd65df95-6508-40b5-b349-a05394b4945b,"https://api.nga.gov/iiif/dd65df95-6508-40b5-b349-a05394b4945b/full/!200,200/0/default.jpg",primary,0,4000,2877,640,NULL,174168,174168,41247,artist,artist,"Mexican, born Costa Rica, 1913 - 1998",1913,1998,NULL,NULL,500020110,"Francisco Zúñiga",1,1913,1998,Mexican,individual,Mexican,0,MX,NoAm,Mexico
dd859068-be3a-4317-96d1-76ab6a2828f9,https://api.nga.gov/iiif/dd859068-be3a-4317-96d1-76ab6a2828f9,"https://api.nga.gov/iiif/dd859068-be3a-4317-96d1-76ab6a2828f9/full/!200,200/0/default.jpg",primary,0,4000,3088,640,NULL,150709,150709,16466,artist,artist,"Mexican, 1902 - 2002",1902,2002,NULL,NULL,500028115,"Manuel Álvarez Bravo",1,1902,2002,Mexican,individual,Mexican,0,MX,NoAm,Mexico
de0655b8-6b5c-4c52-a30c-7463f2682939,https://api.nga.gov/iiif/de0655b8-6b5c-4c52-a30c-7463f2682939,"https://api.nga.gov/iiif/de0655b8-6b5c-4c52-a30c-7463f2682939/full/!200,200/0/default.jpg",primary,0,5941,7437,640,NULL,126500,126500,24991,artist,artist,"Brazilian, born 1941",1941,NULL,NULL,NULL,NULL,"Abraao Batista",1,1941,NULL,Brazilian,individual,Brazilian,0,BR,SA,Brazil
