uuid,iiifurl,iiifthumburl,viewtype,sequence,width,height,maxpixels,assistivetext,depictstmsobjectid,objectid,constituentid,roletype,role,displaydate_artMade,beginyear_artMade,endyear_artMade,country_artMade,zipcode_artMade,ulanid,forwarddisplayname,artistofngaobject,beginyear,endyear,nationality,constituenttype,demonym,pct_country_NGA,artists_countryCode,artists_continent,artists_country
0f30d35a-8e88-44e0-92e1-d6aea92dbceb,https://api.nga.gov/iiif/0f30d35a-8e88-44e0-92e1-d6aea92dbceb,"https://api.nga.gov/iiif/0f30d35a-8e88-44e0-92e1-d6aea92dbceb/full/!200,200/0/default.jpg",primary,0,3191,4000,640,NULL,30690,30690,4962,artist,artist,"Mexican, 1902 - 1969",1902,1969,NULL,NULL,500111715,"Leopoldo Méndez",1,1902,1969,Mexican,individual,Mexican,0,MX,NoAm,Mexico
10a0876d-1d0d-4cb2-bac4-1024e73290e8,https://api.nga.gov/iiif/10a0876d-1d0d-4cb2-bac4-1024e73290e8,"https://api.nga.gov/iiif/10a0876d-1d0d-4cb2-bac4-1024e73290e8/full/!200,200/0/default.jpg",primary,0,2779,4000,640,NULL,61930,61930,3845,artist,artist,"Mexican, 1934 - 2017",1934,2017,NULL,NULL,500021586,"José Luis Cuevas",1,1934,2017,Mexican,individual,Mexican,0,MX,NoAm,Mexico
11ce8833-3605-4dcb-8ce7-b906eafd538a,https://api.nga.gov/iiif/11ce8833-3605-4dcb-8ce7-b906eafd538a,"https://api.nga.gov/iiif/11ce8833-3605-4dcb-8ce7-b906eafd538a/full/!200,200/0/default.jpg",primary,0,12273,8260,640,NULL,221940,221940,51179,artist,artist,"Mexican, born 1950",1950,NULL,NULL,NULL,500294017,"Yolanda Andrade",1,1950,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
13eede6a-de69-4c37-8c36-3c7297b04dfd,https://api.nga.gov/iiif/13eede6a-de69-4c37-8c36-3c7297b04dfd,"https://api.nga.gov/iiif/13eede6a-de69-4c37-8c36-3c7297b04dfd/full/!200,200/0/default.jpg",primary,0,3633,3765,640,NULL,61485,61485,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
146407fc-e358-43d9-9cd1-9f21026a831d,https://api.nga.gov/iiif/146407fc-e358-43d9-9cd1-9f21026a831d,"https://api.nga.gov/iiif/146407fc-e358-43d9-9cd1-9f21026a831d/full/!200,200/0/default.jpg",primary,0,2639,4000,640,NULL,58848,58848,5141,artist,artist,"Brazilian, 1920 - 2001",1920,2001,NULL,NULL,500469327,"Fayga Ostrower",1,1920,2001,Brazilian,individual,Brazilian,0,BR,SA,Brazil
156bb968-11e1-4075-937f-db16f529d630,https://api.nga.gov/iiif/156bb968-11e1-4075-937f-db16f529d630,"https://api.nga.gov/iiif/156bb968-11e1-4075-937f-db16f529d630/full/!200,200/0/default.jpg",primary,0,4000,3038,640,NULL,196158,196158,16466,artist,artist,"Mexican, 1902 - 2002",1902,2002,NULL,NULL,500028115,"Manuel Álvarez Bravo",1,1902,2002,Mexican,individual,Mexican,0,MX,NoAm,Mexico
15baaeb7-3a23-4eb0-a52f-e7910f7cb09a,https://api.nga.gov/iiif/15baaeb7-3a23-4eb0-a52f-e7910f7cb09a,"https://api.nga.gov/iiif/15baaeb7-3a23-4eb0-a52f-e7910f7cb09a/full/!200,200/0/default.jpg",primary,0,2647,4000,640,NULL,58846,58846,5141,artist,artist,"Brazilian, 1920 - 2001",1920,2001,NULL,NULL,500469327,"Fayga Ostrower",1,1920,2001,Brazilian,individual,Brazilian,0,BR,SA,Brazil
16422d7b-ed31-4fd0-8938-d114b19b5b49,https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49,"https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49/full/!200,200/0/default.jpg",primary,0,3979,4000,NULL,NULL,143122,143122,34339,artist,author,Mexican,NULL,NULL,NULL,NULL,NULL,"Alejandro de Ávila",1,NULL,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
16422d7b-ed31-4fd0-8938-d114b19b5b49,https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49,"https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49/full/!200,200/0/default.jpg",primary,0,3979,4000,NULL,NULL,143122,143122,24999,artist,artist,"Mexican, born 1940",1940,NULL,NULL,NULL,500005528,"Francisco Toledo",1,1940,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
16422d7b-ed31-4fd0-8938-d114b19b5b49,https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49,"https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49/full/!200,200/0/default.jpg",primary,0,3979,4000,NULL,NULL,143122,143122,22253,artist,artist,"Mexican, born 1942",1942,NULL,NULL,NULL,500118440,"Graciela Iturbide",1,1942,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
166f96ba-21fa-4233-a60a-4919c5ec16c2,https://api.nga.gov/iiif/166f96ba-21fa-4233-a60a-4919c5ec16c2,"https://api.nga.gov/iiif/166f96ba-21fa-4233-a60a-4919c5ec16c2/full/!200,200/0/default.jpg",primary,0,2584,4000,640,NULL,58986,58986,5449,artist,artist,"Argentinean, born 1936",1936,NULL,NULL,NULL,NULL,"Hector Saunier",1,1936,NULL,Argentinean,individual,Argentinean,0,AR,SA,Argentina
16973e53-c5e1-4c92-8be9-7cbb0b1896b5,https://api.nga.gov/iiif/16973e53-c5e1-4c92-8be9-7cbb0b1896b5,"https://api.nga.gov/iiif/16973e53-c5e1-4c92-8be9-7cbb0b1896b5/full/!200,200/0/default.jpg",primary,0,4000,3039,640,NULL,150710,150710,16466,artist,artist,"Mexican, 1902 - 2002",1902,2002,NULL,NULL,500028115,"Manuel Álvarez Bravo",1,1902,2002,Mexican,individual,Mexican,0,MX,NoAm,Mexico
180e656d-e88b-4f90-9996-9bd5d4dd08cc,https://api.nga.gov/iiif/180e656d-e88b-4f90-9996-9bd5d4dd08cc,"https://api.nga.gov/iiif/180e656d-e88b-4f90-9996-9bd5d4dd08cc/full/!200,200/0/default.jpg",primary,0,4958,3533,NULL,NULL,116507,116507,22253,artist,artist,"Mexican, born 1942",1942,NULL,NULL,NULL,500118440,"Graciela Iturbide",1,1942,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
18ca17f6-ad0c-4074-826e-5891417d90a6,https://api.nga.gov/iiif/18ca17f6-ad0c-4074-826e-5891417d90a6,"https://api.nga.gov/iiif/18ca17f6-ad0c-4074-826e-5891417d90a6/full/!200,200/0/default.jpg",alternate,1,6923,7277,640,NULL,127530,127530,27441,artist,sculptor,"Venezuelan, 1923 - 2005",1923,2005,NULL,NULL,500027187,"Jesús Rafael Soto",1,1923,2005,Venezuelan,individual,Venezuelan,0,VE,SA,"Venezuela, Bolivarian Republic of"
1a4f8592-67ff-4b71-b2d4-1551c17cce9b,https://api.nga.gov/iiif/1a4f8592-67ff-4b71-b2d4-1551c17cce9b,"https://api.nga.gov/iiif/1a4f8592-67ff-4b71-b2d4-1551c17cce9b/full/!200,200/0/default.jpg",primary,0,3020,3904,640,NULL,4552,4552,3489,artist,artist,"Argentinean, 1899-1972",1899,1972,NULL,NULL,NULL,"Adolfo Bellocq",1,1899,1972,Argentinean,individual,Argentinean,0,AR,SA,Argentina
1a6e2609-29d7-4aa7-afc4-40631656c05c,https://api.nga.gov/iiif/1a6e2609-29d7-4aa7-afc4-40631656c05c,"https://api.nga.gov/iiif/1a6e2609-29d7-4aa7-afc4-40631656c05c/full/!200,200/0/default.jpg",primary,0,7658,9453,640,NULL,221003,221003,38881,artist,artist,"Mexican, born Austria-Hungary, 1912 - 2000",1912,2000,NULL,NULL,NULL,"Kati Horna",1,1912,2000,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1aab1a3c-81dd-447d-aa43-8d05e2bf5505,https://api.nga.gov/iiif/1aab1a3c-81dd-447d-aa43-8d05e2bf5505,"https://api.nga.gov/iiif/1aab1a3c-81dd-447d-aa43-8d05e2bf5505/full/!200,200/0/default.jpg",primary,0,3434,4000,640,NULL,133866,133866,28727,artist,artist,"Mexican, born 1980",1980,NULL,NULL,NULL,500472229,"Miguel Cervantes",1,1980,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1b36f54b-5601-444a-86c6-61c0b28a20fb,https://api.nga.gov/iiif/1b36f54b-5601-444a-86c6-61c0b28a20fb,"https://api.nga.gov/iiif/1b36f54b-5601-444a-86c6-61c0b28a20fb/full/!200,200/0/default.jpg",primary,0,3529,3519,640,NULL,61989,61989,5918,artist,artist,"Venezuelan, 1912 - 1994",1912,1994,NULL,NULL,500117602,Gego,1,1912,1994,Venezuelan,individual,Venezuelan,0,VE,SA,"Venezuela, Bolivarian Republic of"
1b5ce5d5-edc8-4cb3-adb3-1bdaae0db2b9,https://api.nga.gov/iiif/1b5ce5d5-edc8-4cb3-adb3-1bdaae0db2b9,"https://api.nga.gov/iiif/1b5ce5d5-edc8-4cb3-adb3-1bdaae0db2b9/full/!200,200/0/default.jpg",primary,0,8794,12267,640,NULL,30640,30640,1876,artist,artist,"Mexican, 1896 - 1974",1896,1974,NULL,NULL,500008908,"David Alfaro Siqueiros",1,1896,1974,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1b93d4a9-3c74-443a-a9c9-5cb319cbfd7e,https://api.nga.gov/iiif/1b93d4a9-3c74-443a-a9c9-5cb319cbfd7e,"https://api.nga.gov/iiif/1b93d4a9-3c74-443a-a9c9-5cb319cbfd7e/full/!200,200/0/default.jpg",primary,0,3222,4000,640,NULL,116224,116224,24648,artist,artist,"Mexican, 1923 - 2012",1923,2012,NULL,NULL,NULL,"Héctor García",1,1923,2012,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1cb0dbd7-2c0a-4850-b5de-ff290429c6d1,https://api.nga.gov/iiif/1cb0dbd7-2c0a-4850-b5de-ff290429c6d1,"https://api.nga.gov/iiif/1cb0dbd7-2c0a-4850-b5de-ff290429c6d1/full/!200,200/0/default.jpg",primary,0,4000,3108,640,NULL,48423,48423,1707,artist,artist,"Chilean, 1911 - 2002",1911,2002,NULL,NULL,500057123,Matta,1,1911,2002,Chilean,individual,Chilean,0,CL,SA,Chile
1d8a629a-dd9a-4317-9962-e5dde013d7f8,https://api.nga.gov/iiif/1d8a629a-dd9a-4317-9962-e5dde013d7f8,"https://api.nga.gov/iiif/1d8a629a-dd9a-4317-9962-e5dde013d7f8/full/!200,200/0/default.jpg",primary,0,3980,4000,NULL,NULL,143117,143117,34339,artist,author,Mexican,NULL,NULL,NULL,NULL,NULL,"Alejandro de Ávila",1,NULL,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1d8a629a-dd9a-4317-9962-e5dde013d7f8,https://api.nga.gov/iiif/1d8a629a-dd9a-4317-9962-e5dde013d7f8,"https://api.nga.gov/iiif/1d8a629a-dd9a-4317-9962-e5dde013d7f8/full/!200,200/0/default.jpg",primary,0,3980,4000,NULL,NULL,143117,143117,24999,artist,artist,"Mexican, born 1940",1940,NULL,NULL,NULL,500005528,"Francisco Toledo",1,1940,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1d8a629a-dd9a-4317-9962-e5dde013d7f8,https://api.nga.gov/iiif/1d8a629a-dd9a-4317-9962-e5dde013d7f8,"https://api.nga.gov/iiif/1d8a629a-dd9a-4317-9962-e5dde013d7f8/full/!200,200/0/default.jpg",primary,0,3980,4000,NULL,NULL,143117,143117,22253,artist,artist,"Mexican, born 1942",1942,NULL,NULL,NULL,500118440,"Graciela Iturbide",1,1942,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1d8f028c-9436-4564-9e97-e90e4db7817e,https://api.nga.gov/iiif/1d8f028c-9436-4564-9e97-e90e4db7817e,"https://api.nga.gov/iiif/1d8f028c-9436-4564-9e97-e90e4db7817e/full/!200,200/0/default.jpg",primary,0,2694,4000,NULL,NULL,211391,211391,22253,artist,artist,"Mexican, born 1942",1942,NULL,NULL,NULL,500118440,"Graciela Iturbide",1,1942,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1db755eb-9b69-4842-8b00-ed4e13cb81ac,https://api.nga.gov/iiif/1db755eb-9b69-4842-8b00-ed4e13cb81ac,"https://api.nga.gov/iiif/1db755eb-9b69-4842-8b00-ed4e13cb81ac/full/!200,200/0/default.jpg",primary,0,4000,2900,640,NULL,153116,153116,35252,artist,printer,"Mexican, founded 1937",1937,NULL,NULL,NULL,NULL,"Taller de Grafica Popular",1,1937,NULL,Mexican,corporate,Mexican,0,MX,NoAm,Mexico
1e952c95-3cd8-4e6d-8a39-171e72f15cf7,https://api.nga.gov/iiif/1e952c95-3cd8-4e6d-8a39-171e72f15cf7,"https://api.nga.gov/iiif/1e952c95-3cd8-4e6d-8a39-171e72f15cf7/full/!200,200/0/default.jpg",primary,0,3973,4000,NULL,NULL,143120,143120,34339,artist,author,Mexican,NULL,NULL,NULL,NULL,NULL,"Alejandro de Ávila",1,NULL,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1e952c95-3cd8-4e6d-8a39-171e72f15cf7,https://api.nga.gov/iiif/1e952c95-3cd8-4e6d-8a39-171e72f15cf7,"https://api.nga.gov/iiif/1e952c95-3cd8-4e6d-8a39-171e72f15cf7/full/!200,200/0/default.jpg",primary,0,3973,4000,NULL,NULL,143120,143120,24999,artist,artist,"Mexican, born 1940",1940,NULL,NULL,NULL,500005528,"Francisco Toledo",1,1940,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1e952c95-3cd8-4e6d-8a39-171e72f15cf7,https://api.nga.gov/iiif/1e952c95-3cd8-4e6d-8a39-171e72f15cf7,"https://api.nga.gov/iiif/1e952c95-3cd8-4e6d-8a39-171e72f15cf7/full/!200,200/0/default.jpg",primary,0,3973,4000,NULL,NULL,143120,143120,22253,artist,artist,"Mexican, born 1942",1942,NULL,NULL,NULL,500118440,"Graciela Iturbide",1,1942,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1f0ce0dc-18f6-4600-b50d-26c80b99c06e,https://api.nga.gov/iiif/1f0ce0dc-18f6-4600-b50d-26c80b99c06e,"https://api.nga.gov/iiif/1f0ce0dc-18f6-4600-b50d-26c80b99c06e/full/!200,200/0/default.jpg",primary,0,4000,3362,640,NULL,42617,42617,2894,artist,artist,"Mexican, 1901 - 1976",1901,1976,NULL,NULL,500202173,"Emilio Amero",1,1901,1976,Mexican,individual,Mexican,0,MX,NoAm,Mexico
1f1918c9-9d30-4491-a94e-e35d3ad8b891,https://api.nga.gov/iiif/1f1918c9-9d30-4491-a94e-e35d3ad8b891,"https://api.nga.gov/iiif/1f1918c9-9d30-4491-a94e-e35d3ad8b891/full/!200,200/0/default.jpg",primary,0,4000,3084,640,NULL,48410,48410,1707,artist,artist,"Chilean, 1911 - 2002",1911,2002,NULL,NULL,500057123,Matta,1,1911,2002,Chilean,individual,Chilean,0,CL,SA,Chile
2173245e-99f7-4bc5-a7f9-80b8a6bd3947,https://api.nga.gov/iiif/2173245e-99f7-4bc5-a7f9-80b8a6bd3947,"https://api.nga.gov/iiif/2173245e-99f7-4bc5-a7f9-80b8a6bd3947/full/!200,200/0/default.jpg",primary,0,3521,3667,640,NULL,61467,61467,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
2204794b-1e0a-40d9-938c-0c81cf2e2275,https://api.nga.gov/iiif/2204794b-1e0a-40d9-938c-0c81cf2e2275,"https://api.nga.gov/iiif/2204794b-1e0a-40d9-938c-0c81cf2e2275/full/!200,200/0/default.jpg",primary,0,2943,4000,640,NULL,199322,199322,46354,artist,artist,"Argentinean, born 1957",1957,NULL,NULL,NULL,NULL,"Maria Teresa Rizzi",1,1957,NULL,Argentinean,individual,Argentinean,0,AR,SA,Argentina
220d2694-4214-4a43-9462-51d37e8e3fc1,https://api.nga.gov/iiif/220d2694-4214-4a43-9462-51d37e8e3fc1,"https://api.nga.gov/iiif/220d2694-4214-4a43-9462-51d37e8e3fc1/full/!200,200/0/default.jpg",primary,0,2896,4000,640,NULL,61491,61491,2861,artist,artist,"Guatemalan, 1933 - 2020",1933,2020,NULL,NULL,500118427,"Rodolfo Abularach",1,1933,2020,Guatemalan,individual,Guatemalan,0,GT,NoAm,Guatemala
2348301b-e221-45b4-baa3-9a1dc6b82824,https://api.nga.gov/iiif/2348301b-e221-45b4-baa3-9a1dc6b82824,"https://api.nga.gov/iiif/2348301b-e221-45b4-baa3-9a1dc6b82824/full/!200,200/0/default.jpg",primary,0,8767,7226,640,NULL,223250,223250,38881,artist,artist,"Mexican, born Austria-Hungary, 1912 - 2000",1912,2000,NULL,NULL,NULL,"Kati Horna",1,1912,2000,Mexican,individual,Mexican,0,MX,NoAm,Mexico
23b45aeb-802e-4831-9562-9fd4e8d9b72d,https://api.nga.gov/iiif/23b45aeb-802e-4831-9562-9fd4e8d9b72d,"https://api.nga.gov/iiif/23b45aeb-802e-4831-9562-9fd4e8d9b72d/full/!200,200/0/default.jpg",primary,0,4000,3654,NULL,NULL,143118,143118,34339,artist,author,Mexican,NULL,NULL,NULL,NULL,NULL,"Alejandro de Ávila",1,NULL,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
23b45aeb-802e-4831-9562-9fd4e8d9b72d,https://api.nga.gov/iiif/23b45aeb-802e-4831-9562-9fd4e8d9b72d,"https://api.nga.gov/iiif/23b45aeb-802e-4831-9562-9fd4e8d9b72d/full/!200,200/0/default.jpg",primary,0,4000,3654,NULL,NULL,143118,143118,24999,artist,artist,"Mexican, born 1940",1940,NULL,NULL,NULL,500005528,"Francisco Toledo",1,1940,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
23b45aeb-802e-4831-9562-9fd4e8d9b72d,https://api.nga.gov/iiif/23b45aeb-802e-4831-9562-9fd4e8d9b72d,"https://api.nga.gov/iiif/23b45aeb-802e-4831-9562-9fd4e8d9b72d/full/!200,200/0/default.jpg",primary,0,4000,3654,NULL,NULL,143118,143118,22253,artist,artist,"Mexican, born 1942",1942,NULL,NULL,NULL,500118440,"Graciela Iturbide",1,1942,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
25dc66d6-d136-4e49-bb6d-786c1f54a384,https://api.nga.gov/iiif/25dc66d6-d136-4e49-bb6d-786c1f54a384,"https://api.nga.gov/iiif/25dc66d6-d136-4e49-bb6d-786c1f54a384/full/!200,200/0/default.jpg",primary,0,5540,4043,640,NULL,157357,157357,36273,artist,artist,"Mexican, born 1973",1973,NULL,NULL,NULL,500349250,"Daniela Rossell",1,1973,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
262d1dc1-410e-48c0-9912-69f458c55b7b,https://api.nga.gov/iiif/262d1dc1-410e-48c0-9912-69f458c55b7b,"https://api.nga.gov/iiif/262d1dc1-410e-48c0-9912-69f458c55b7b/full/!200,200/0/default.jpg",primary,0,4000,3083,640,NULL,48420,48420,1707,artist,artist,"Chilean, 1911 - 2002",1911,2002,NULL,NULL,500057123,Matta,1,1911,2002,Chilean,individual,Chilean,0,CL,SA,Chile
269b6ff9-92ad-45cc-8366-d9e63de5ba8a,https://api.nga.gov/iiif/269b6ff9-92ad-45cc-8366-d9e63de5ba8a,"https://api.nga.gov/iiif/269b6ff9-92ad-45cc-8366-d9e63de5ba8a/full/!200,200/0/default.jpg",primary,0,3577,3555,640,NULL,62013,62013,5918,artist,artist,"Venezuelan, 1912 - 1994",1912,1994,NULL,NULL,500117602,Gego,1,1912,1994,Venezuelan,individual,Venezuelan,0,VE,SA,"Venezuela, Bolivarian Republic of"
2719a376-8f9e-44f3-9e71-8f60c33d6633,https://api.nga.gov/iiif/2719a376-8f9e-44f3-9e71-8f60c33d6633,"https://api.nga.gov/iiif/2719a376-8f9e-44f3-9e71-8f60c33d6633/full/!200,200/0/default.jpg",primary,0,3338,4000,640,NULL,181849,181849,25864,artist,artist,"Argentinean, born Belgium, 1902 - 1985",1902,1985,NULL,NULL,NULL,"Victor Delhez",1,1902,1985,Argentinean,individual,Argentinean,0,AR,SA,Argentina
28427977-1b6f-4601-a637-41709d91657b,https://api.nga.gov/iiif/28427977-1b6f-4601-a637-41709d91657b,"https://api.nga.gov/iiif/28427977-1b6f-4601-a637-41709d91657b/full/!200,200/0/default.jpg",primary,0,3602,3938,640,NULL,133879,133879,28727,artist,artist,"Mexican, born 1980",1980,NULL,NULL,NULL,500472229,"Miguel Cervantes",1,1980,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
28ac13b4-2e6c-405b-945e-78217bbabf0b,https://api.nga.gov/iiif/28ac13b4-2e6c-405b-945e-78217bbabf0b,"https://api.nga.gov/iiif/28ac13b4-2e6c-405b-945e-78217bbabf0b/full/!200,200/0/default.jpg",primary,0,4000,3185,640,NULL,30707,30707,4962,artist,artist,"Mexican, 1902 - 1969",1902,1969,NULL,NULL,500111715,"Leopoldo Méndez",1,1902,1969,Mexican,individual,Mexican,0,MX,NoAm,Mexico
2a867095-3fd9-44b9-b5b3-9def1f51aed1,https://api.nga.gov/iiif/2a867095-3fd9-44b9-b5b3-9def1f51aed1,"https://api.nga.gov/iiif/2a867095-3fd9-44b9-b5b3-9def1f51aed1/full/!200,200/0/default.jpg",primary,0,2985,2328,640,NULL,196157,196157,39181,artist,artist,"Mexican, 1903 - 1993",1903,1993,NULL,NULL,500056681,"Lola Álvarez Bravo",1,1903,1993,Mexican,individual,Mexican,0,MX,NoAm,Mexico
2b149bb8-ff4f-4921-b590-0776f5721ed9,https://api.nga.gov/iiif/2b149bb8-ff4f-4921-b590-0776f5721ed9,"https://api.nga.gov/iiif/2b149bb8-ff4f-4921-b590-0776f5721ed9/full/!200,200/0/default.jpg",primary,0,9170,6693,640,NULL,221111,221111,2894,artist,artist,"Mexican, 1901 - 1976",1901,1976,NULL,NULL,500202173,"Emilio Amero",1,1901,1976,Mexican,individual,Mexican,0,MX,NoAm,Mexico
2b6cd073-1606-46f9-bc9b-7dda97050400,https://api.nga.gov/iiif/2b6cd073-1606-46f9-bc9b-7dda97050400,"https://api.nga.gov/iiif/2b6cd073-1606-46f9-bc9b-7dda97050400/full/!200,200/0/default.jpg",primary,0,4000,2900,NULL,NULL,179431,179431,5449,artist,printer,"Argentinean, born 1936",1936,NULL,NULL,NULL,NULL,"Hector Saunier",1,1936,NULL,Argentinean,individual,Argentinean,0,AR,SA,Argentina
2daff6d9-1416-4bdc-a356-4f3f598c5cda,https://api.nga.gov/iiif/2daff6d9-1416-4bdc-a356-4f3f598c5cda,"https://api.nga.gov/iiif/2daff6d9-1416-4bdc-a356-4f3f598c5cda/full/!200,200/0/default.jpg",primary,0,4000,2744,640,NULL,150708,150708,16466,artist,artist,"Mexican, 1902 - 2002",1902,2002,NULL,NULL,500028115,"Manuel Álvarez Bravo",1,1902,2002,Mexican,individual,Mexican,0,MX,NoAm,Mexico
2e84c8af-c22b-4cee-8c3c-c60cca641185,https://api.nga.gov/iiif/2e84c8af-c22b-4cee-8c3c-c60cca641185,"https://api.nga.gov/iiif/2e84c8af-c22b-4cee-8c3c-c60cca641185/full/!200,200/0/default.jpg",primary,0,3589,3563,640,NULL,62014,62014,5918,artist,artist,"Venezuelan, 1912 - 1994",1912,1994,NULL,NULL,500117602,Gego,1,1912,1994,Venezuelan,individual,Venezuelan,0,VE,SA,"Venezuela, Bolivarian Republic of"
314cc66e-5137-4dbd-99e9-ebf1e87d6e15,https://api.nga.gov/iiif/314cc66e-5137-4dbd-99e9-ebf1e87d6e15,"https://api.nga.gov/iiif/314cc66e-5137-4dbd-99e9-ebf1e87d6e15/full/!200,200/0/default.jpg",primary,0,4000,3123,640,NULL,133434,133434,1707,artist,artist,"Chilean, 1911 - 2002",1911,2002,NULL,NULL,500057123,Matta,1,1911,2002,Chilean,individual,Chilean,0,CL,SA,Chile
31ac95a4-adee-47f3-acac-8face311b1b0,https://api.nga.gov/iiif/31ac95a4-adee-47f3-acac-8face311b1b0,"https://api.nga.gov/iiif/31ac95a4-adee-47f3-acac-8face311b1b0/full/!200,200/0/default.jpg",primary,0,3191,4000,640,NULL,150707,150707,16466,artist,artist,"Mexican, 1902 - 2002",1902,2002,NULL,NULL,500028115,"Manuel Álvarez Bravo",1,1902,2002,Mexican,individual,Mexican,0,MX,NoAm,Mexico
325d2bd2-e2b2-422f-8128-e75967572153,https://api.nga.gov/iiif/325d2bd2-e2b2-422f-8128-e75967572153,"https://api.nga.gov/iiif/325d2bd2-e2b2-422f-8128-e75967572153/full/!200,200/0/default.jpg",primary,0,4000,2945,640,NULL,9504,9504,5136,artist,artist,"Mexican, 1883 - 1949",1883,1949,NULL,NULL,500012316,"José Clemente Orozco",1,1883,1949,Mexican,individual,Mexican,0,MX,NoAm,Mexico
328ca85f-c36a-4550-93f3-40383bac2f2a,https://api.nga.gov/iiif/328ca85f-c36a-4550-93f3-40383bac2f2a,"https://api.nga.gov/iiif/328ca85f-c36a-4550-93f3-40383bac2f2a/full/!200,200/0/default.jpg",primary,0,5820,6756,640,NULL,163530,163530,9698,artist,artist,"Cuban, 1902 - 1982",1902,1982,NULL,NULL,500006317,"Wifredo Lam",1,1902,1982,Cuban,individual,Cuban,0,CU,NoAm,Cuba
329305ea-b635-48d5-9a23-661b7bec2577,https://api.nga.gov/iiif/329305ea-b635-48d5-9a23-661b7bec2577,"https://api.nga.gov/iiif/329305ea-b635-48d5-9a23-661b7bec2577/full/!200,200/0/default.jpg",primary,0,3461,4000,640,NULL,133864,133864,28727,artist,artist,"Mexican, born 1980",1980,NULL,NULL,NULL,500472229,"Miguel Cervantes",1,1980,NULL,Mexican,individual,Mexican,0,MX,NoAm,Mexico
3372369e-7bf1-4f3c-b49f-b17b541e33cb,https://api.nga.gov/iiif/3372369e-7bf1-4f3c-b49f-b17b541e33cb,"https://api.nga.gov/iiif/3372369e-7bf1-4f3c-b49f-b17b541e33cb/full/!200,200/0/default.jpg",primary,0,4000,2775,640,NULL,53076,53076,1918,artist,artist,"Mexican, 1899 - 1991",1899,1991,NULL,NULL,500024331,"Rufino Tamayo",1,1899,1991,Mexican,individual,Mexican,0,MX,NoAm,Mexico
34c1987f-6d7c-450b-99a5-7c430bd18050,https://api.nga.gov/iiif/34c1987f-6d7c-450b-99a5-7c430bd18050,"https://api.nga.gov/iiif/34c1987f-6d7c-450b-99a5-7c430bd18050/full/!200,200/0/default.jpg",primary,0,4000,3146,640,NULL,41845,41845,3679,artist,artist,"Mexican, 1908 - 1989",1908,1989,NULL,NULL,500118518,"Federico Cantú",1,1908,1989,Mexican,individual,Mexican,0,MX,NoAm,Mexico
352fc4ff-4fa9-4187-b46d-dbd9b867f94a,https://api.nga.gov/iiif/352fc4ff-4fa9-4187-b46d-dbd9b867f94a,"https://api.nga.gov/iiif/352fc4ff-4fa9-4187-b46d-dbd9b867f94a/full/!200,200/0/default.jpg",primary,0,4000,3106,640,NULL,48418,48418,1707,artist,artist,"Chilean, 1911 - 2002",1911,2002,NULL,NULL,500057123,Matta,1,1911,2002,Chilean,individual,Chilean,0,CL,SA,Chile
