uuid,iiifurl,iiifthumburl,viewtype,sequence,width,height,maxpixels,created,modified,depictstmsobjectid,assistivetext,objectid,displayorder,roletype,role,constituentid,ulanid,preferreddisplayname,forwarddisplayname,lastname,displaydate,artistofngaobject,beginyear,endyear,visualbrowsertimespan,nationality,visualbrowsernationality,constituenttype,Demonym,Percent_in_NGA,Country,Continent,Country Name
0df9c7e6-a61d-4e84-8050-3077af8ca55e,https://api.nga.gov/iiif/0df9c7e6-a61d-4e84-8050-3077af8ca55e,"https://api.nga.gov/iiif/0df9c7e6-a61d-4e84-8050-3077af8ca55e/full/!200,200/0/default.jpg",primary,0,3289,4000,640,2012-01-23 12:41:20-05,2022-06-14 16:39:33-04,3642,,3642,1,artist,artist,2894,500202173,"Amero, Emilio",Emilio Amero,Amero,"Mexican, 1901 - 1976",1,1901,1976,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
0e0e9383-8aea-47b4-8f82-02a79650a243,https://api.nga.gov/iiif/0e0e9383-8aea-47b4-8f82-02a79650a243,"https://api.nga.gov/iiif/0e0e9383-8aea-47b4-8f82-02a79650a243/full/!200,200/0/default.jpg",primary,0,2863,4000,640,2016-01-29 07:42:19-05,2022-05-17 18:22:17-04,199318,,199318,1,artist,artist,46354,,"Rizzi, Maria Teresa",Maria Teresa Rizzi,Rizzi,"Argentinean, born 1957",1,1957,,1951 to 1975,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
0f30d35a-8e88-44e0-92e1-d6aea92dbceb,https://api.nga.gov/iiif/0f30d35a-8e88-44e0-92e1-d6aea92dbceb,"https://api.nga.gov/iiif/0f30d35a-8e88-44e0-92e1-d6aea92dbceb/full/!200,200/0/default.jpg",primary,0,3191,4000,640,2012-01-23 12:14:19-05,2022-06-14 16:39:28-04,30690,,30690,1,artist,artist,4962,500111715,"Méndez, Leopoldo",Leopoldo Méndez,Méndez,"Mexican, 1902 - 1969",1,1902,1969,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
10a0876d-1d0d-4cb2-bac4-1024e73290e8,https://api.nga.gov/iiif/10a0876d-1d0d-4cb2-bac4-1024e73290e8,"https://api.nga.gov/iiif/10a0876d-1d0d-4cb2-bac4-1024e73290e8/full/!200,200/0/default.jpg",primary,0,2779,4000,640,2012-01-23 12:36:02-05,2022-06-14 16:39:33-04,61930,,61930,1,artist,artist,3845,500021586,"Cuevas, José Luis",José Luis Cuevas,Cuevas,"Mexican, 1934 - 2017",1,1934,2017,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
11ce8833-3605-4dcb-8ce7-b906eafd538a,https://api.nga.gov/iiif/11ce8833-3605-4dcb-8ce7-b906eafd538a,"https://api.nga.gov/iiif/11ce8833-3605-4dcb-8ce7-b906eafd538a/full/!200,200/0/default.jpg",primary,0,12273,8260,640,2020-11-12 14:35:47-05,2022-06-07 16:19:56-04,221940,,221940,1,artist,artist,51179,500294017,"Andrade, Yolanda",Yolanda Andrade,Andrade,"Mexican, born 1950",1,1950,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
13eede6a-de69-4c37-8c36-3c7297b04dfd,https://api.nga.gov/iiif/13eede6a-de69-4c37-8c36-3c7297b04dfd,"https://api.nga.gov/iiif/13eede6a-de69-4c37-8c36-3c7297b04dfd/full/!200,200/0/default.jpg",primary,0,3633,3765,640,2012-01-20 17:00:43-05,2022-06-14 16:39:05-04,61485,,61485,1,artist,artist,2861,500118427,"Abularach, Rodolfo",Rodolfo Abularach,Abularach,"Guatemalan, 1933 - 2020",1,1933,2020,1926 to 1950,Guatemalan,Other,individual,Guatemalan,0.0001306591755406,GT,North America,Guatemala
146407fc-e358-43d9-9cd1-9f21026a831d,https://api.nga.gov/iiif/146407fc-e358-43d9-9cd1-9f21026a831d,"https://api.nga.gov/iiif/146407fc-e358-43d9-9cd1-9f21026a831d/full/!200,200/0/default.jpg",primary,0,2639,4000,640,2011-12-28 15:59:18-05,2022-06-14 16:35:58-04,58848,,58848,1,artist,artist,5141,500469327,"Ostrower, Fayga",Fayga Ostrower,Ostrower,"Brazilian, 1920 - 2001",1,1920,2001,1901 to 1925,Brazilian,Other,individual,Brazilian,0.0009799438165545,BR,South America,Brazil
156bb968-11e1-4075-937f-db16f529d630,https://api.nga.gov/iiif/156bb968-11e1-4075-937f-db16f529d630,"https://api.nga.gov/iiif/156bb968-11e1-4075-937f-db16f529d630/full/!200,200/0/default.jpg",primary,0,4000,3038,640,2015-07-08 10:47:40-04,2022-05-20 14:40:31-04,196158,,196158,1,artist,artist,16466,500028115,"Álvarez Bravo, Manuel",Manuel Álvarez Bravo,Álvarez Bravo,"Mexican, 1902 - 2002",1,1902,2002,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
15baaeb7-3a23-4eb0-a52f-e7910f7cb09a,https://api.nga.gov/iiif/15baaeb7-3a23-4eb0-a52f-e7910f7cb09a,"https://api.nga.gov/iiif/15baaeb7-3a23-4eb0-a52f-e7910f7cb09a/full/!200,200/0/default.jpg",primary,0,2647,4000,640,2011-12-28 15:51:49-05,2022-06-14 16:35:58-04,58846,,58846,1,artist,artist,5141,500469327,"Ostrower, Fayga",Fayga Ostrower,Ostrower,"Brazilian, 1920 - 2001",1,1920,2001,1901 to 1925,Brazilian,Other,individual,Brazilian,0.0009799438165545,BR,South America,Brazil
16422d7b-ed31-4fd0-8938-d114b19b5b49,https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49,"https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49/full/!200,200/0/default.jpg",primary,0,3979,4000,,2011-03-18 12:20:19-04,2022-05-19 12:58:51-04,143122,,143122,2,artist,artist,24999,500005528,"Toledo, Francisco",Francisco Toledo,Toledo,"Mexican, born 1940",1,1940,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
16422d7b-ed31-4fd0-8938-d114b19b5b49,https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49,"https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49/full/!200,200/0/default.jpg",primary,0,3979,4000,,2011-03-18 12:20:19-04,2022-05-19 12:58:51-04,143122,,143122,3,artist,author,34339,,"de Ávila, Alejandro",Alejandro de Ávila,de Ávila,Mexican,1,,,,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
16422d7b-ed31-4fd0-8938-d114b19b5b49,https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49,"https://api.nga.gov/iiif/16422d7b-ed31-4fd0-8938-d114b19b5b49/full/!200,200/0/default.jpg",primary,0,3979,4000,,2011-03-18 12:20:19-04,2022-05-19 12:58:51-04,143122,,143122,1,artist,artist,22253,500118440,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
166f96ba-21fa-4233-a60a-4919c5ec16c2,https://api.nga.gov/iiif/166f96ba-21fa-4233-a60a-4919c5ec16c2,"https://api.nga.gov/iiif/166f96ba-21fa-4233-a60a-4919c5ec16c2/full/!200,200/0/default.jpg",primary,0,2584,4000,640,2012-01-19 15:10:36-05,2022-06-14 16:38:30-04,58986,,58986,1,artist,artist,5449,,"Saunier, Hector",Hector Saunier,Saunier,"Argentinean, born 1936",1,1936,,1926 to 1950,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
16973e53-c5e1-4c92-8be9-7cbb0b1896b5,https://api.nga.gov/iiif/16973e53-c5e1-4c92-8be9-7cbb0b1896b5,"https://api.nga.gov/iiif/16973e53-c5e1-4c92-8be9-7cbb0b1896b5/full/!200,200/0/default.jpg",primary,0,4000,3039,640,2011-04-14 16:36:00-04,2022-05-19 13:02:04-04,150710,,150710,1,artist,artist,16466,500028115,"Álvarez Bravo, Manuel",Manuel Álvarez Bravo,Álvarez Bravo,"Mexican, 1902 - 2002",1,1902,2002,1901 to 1925,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
180e656d-e88b-4f90-9996-9bd5d4dd08cc,https://api.nga.gov/iiif/180e656d-e88b-4f90-9996-9bd5d4dd08cc,"https://api.nga.gov/iiif/180e656d-e88b-4f90-9996-9bd5d4dd08cc/full/!200,200/0/default.jpg",primary,0,4958,3533,,2011-03-29 15:31:54-04,2022-05-20 14:35:11-04,116507,,116507,1,artist,artist,22253,500118440,"Iturbide, Graciela",Graciela Iturbide,Iturbide,"Mexican, born 1942",1,1942,,1926 to 1950,Mexican,Mexican,individual,Mexican,0.0024171947475011,MX,North America,Mexico
18ca17f6-ad0c-4074-826e-5891417d90a6,https://api.nga.gov/iiif/18ca17f6-ad0c-4074-826e-5891417d90a6,"https://api.nga.gov/iiif/18ca17f6-ad0c-4074-826e-5891417d90a6/full/!200,200/0/default.jpg",alternate,1,6923,7277,640,2021-11-09 14:49:40-05,2022-06-28 22:11:57.16-04,127530,,127530,1,artist,sculptor,27441,500027187,"Soto, Jesús Rafael",Jesús Rafael Soto,Soto,"Venezuelan, 1923 - 2005",1,1923,2005,1901 to 1925,Venezuelan,Other,individual,Venezuelan,0.0002613183510812,VE,South America,"Venezuela, Bolivarian Republic of"
1a4f8592-67ff-4b71-b2d4-1551c17cce9b,https://api.nga.gov/iiif/1a4f8592-67ff-4b71-b2d4-1551c17cce9b,"https://api.nga.gov/iiif/1a4f8592-67ff-4b71-b2d4-1551c17cce9b/full/!200,200/0/default.jpg",primary,0,3020,3904,640,2012-01-19 15:31:13-05,2022-06-14 16:38:36-04,4552,,4552,1,artist,artist,3489,,"Bellocq, Adolfo",Adolfo Bellocq,Bellocq,"Argentinean, 1899-1972",1,1899,1972,1876 to 1900,Argentinean,Other,individual,Argentinean,0.001306591755406,AR,South America,Argentina
